Card,Cost,Power,Card Ability
Abomination,5,9,No ability.
Cyclops,3,4,No ability.
Hawkeye,1,1,"On Reveal: If you play a card here next turn, +3 Power."
Hulk,6,12,No ability.
Iron Man,5,0,Ongoing: Your total Power is doubled at this Location.
Medusa,2,2,"On Reveal: If this is at the middle Location, +3 Power."
Misty Knight,1,2,No ability.
The Punisher,3,2,Ongoing: +1 Power for each opposing card at this Location.
Quicksilver,1,2,Starts in your opening hand.
Sentinel,2,3,On Reveal: Add another Sentinel to your hand.
Shocker,2,3,No ability.
Star Lord,2,2,"On Reveal: If your opponent played a card here this turn, +3 Power."
The Thing,4,6,No ability.
America Chavez,6,9,"You always draw this card on turn 6, and not before."
Angel,1,2,"When one of your cards is destroyed, this flies out of your deck to replace it."
Angela,2,0,"When you play a card here, +2 Power."
Apocalypse,6,8,"When you discard this from your hand, put it back with +4 Power."
Armor,2,3,Ongoing: Cards at this location can’t be destroyed.
Bishop,3,1,"When you play a card, this gains +1 Power."
Blade,1,3,On Reveal: Discard the rightmost card from your hand.
Cable,3,4,On Reveal: Put the bottom card of your opponent’s deck into your hand.
Captain America,3,3,Ongoing: Your other cards at this location have +1 Power.
Carnage,2,2,On Reveal: Destroy your other cards here. +2 Power for each destroyed.
Cosmo,3,3,Ongoing: On Reveal abilities won’t happen at this location.
Deathlok,3,5,On Reveal: Destroy your other cards at this location.
Devil Dinosaur,5,3,Ongoing: +2 Power for each card in your hand.
Doctor Strange,3,3,On Reveal: Move your highest power cards to this location.
Domino,2,3,"You always draw this card on turn 2, and not before."
Elektra,1,1,On Reveal: Destroy a random enemy 1-Cost card at this location.
Enchantress,4,5,On Reveal: Remove the abilities from all Ongoing cards at this location.
Forge,1,1,On Reveal: Give the next card you play +2 Power.
Groot,3,4,"On Reveal: If your opponent played a card here this turn, +3 Power."
Heimdall,6,8,On Reveal: Move your other cards one location to the left.
Hulkbuster,3,5,On Reveal: Merge this card with a random friendly card at this location.
Iron Fist,1,2,On Reveal: Move the next card you play one location to the left after it reveals.
Klaw,5,4,Ongoing: The location to the right has +6 Power.
Korg,1,2,On Reveal: Shuffle a Rock into your opponent’s deck.
Kraven,2,2,"When a card moves here, this gets +2 Power."
Lady Sif,3,5,On Reveal: Discard the highest-cost card from your hand.
Lizard,2,5,Ongoing: -3 Power if your opponent has 4 cards here.
Mantis,2,3,"On Reveal: If your opponent played a card here this turn, draw a card from their deck."
Mister Sinister,2,2,On Reveal: Add a Sinister Clone to this location with the same Power.
Moon Girl,4,4,On Reveal: Duplicate your hand.
Morph,3,0,On Reveal: Become a copy of a random card in your opponent’s hand.
Multiple Man,2,3,"When this moves, add a copy to the old location."
Namor,4,6,Ongoing: +5 Power if this is your only card here.
Nova,1,1,"When this is destroyed, give your cards +1 Power."
Onslaught,6,7,Ongoing: Double your other Ongoing effects at this location.
Professor X,5,3,"Ongoing: Lock down this location. (Cards can’t be added, removed, etc.)"
Rocket Raccoon,1,2,"On Reveal: If your opponent played a card here this turn, +2 Power."
Scarlet Witch,2,3,On Reveal: Replace this location with a random new one.
Spider-Woman,5,8,On Reveal: Afflict all enemy cards here with -1 Power.
Squirrel Girl,1,2,On Reveal: Add a 1-Power Squirrel to each other location.
Strong Guy,4,4,"Ongoing: If you hand is empty, +6 Power."
Sword Master,3,6,On Reveal: Discard a card from your hand.
Uatu the Watcher,1,1,"At the start of the game, shows the right location to you."
White Queen,4,6,On Reveal: Draw a copy of the highest Cost card in your opponent’s hand.
White Tiger,5,1,On Reveal: Add a 8-Power Tiger to another location.
Wolverine,2,2,"When this is discarded or destroyed, regenerate it at a random location with +2 Power."
Yondu,1,2,On Reveal: Remove the top card of your opponent’s deck.
